#time,alt,vx,vy,vz,wx,wy,wz,thetax,thetay,thetaz,windx,windy,u
8,4763.17,303.67,43.4183,-1.62844,0,0.00323608,0.0775099,-0.000748597,-0.00541288,0.0631488,2.25228,29.9611,0
8.05,4778.13,301.954,42.3412,-1.56727,0,0.00369975,0.078574,-0.000769383,-0.0052365,0.0670512,-4.17276,29.6742,0
8.1,4793.01,300.24,41.2594,-1.50191,0,0.0038725,0.0798681,-0.000789747,-0.00504408,0.0710125,-0.589323,25.8694,0
8.15,4807.79,298.528,40.1777,-1.43457,0,0.00405154,0.0803247,-0.000809548,-0.00484275,0.0750176,-0.898056,34.7382,0
8.2,4822.48,296.818,39.1007,-1.36629,0,0.00408678,0.0810096,-0.000828664,-0.00463597,0.0790512,0.964199,30.978,0
8.25,4837.07,295.106,38.0201,-1.29782,0,0.00416928,0.0826344,-0.000847202,-0.00442611,0.0831425,0.33267,18.7659,0
8.3,4851.57,293.397,36.933,-1.22716,0,0.00447719,0.0837511,-0.000865162,-0.00420637,0.0873024,-2.52652,23.7809,0
8.35,4865.98,291.691,35.8451,-1.1532,0,0.00471866,0.0846128,-0.000882379,-0.00397277,0.0915117,-1.78934,25.8133,0
8.4,4880.29,289.986,34.762,-1.07729,0,0.00485386,0.0850199,-0.000898714,-0.00372966,0.0957526,-0.558193,30.3483,0
8.45,4894.51,288.282,33.6918,-1.00073,0,0.0049182,0.0847559,-0.00091402,-0.00348149,0.0999972,0.276417,37.616,0
8.5,4908.64,286.577,32.6416,-0.925158,0,0.00483025,0.0841808,-0.0009282,-0.00323386,0.104221,2.04754,40.3136,0
8.55,4922.67,284.87,31.6087,-0.851912,0,0.00470313,0.0842855,-0.000941308,-0.00299151,0.108433,2.29512,31.1468,0
8.6,4936.62,283.162,30.5863,-0.78076,0,0.00464677,0.0846744,-0.000953441,-0.00275373,0.112657,1.48754,26.7362,0
8.65,4950.47,281.456,29.5807,-0.70933,0,0.00485001,0.0838765,-0.00096454,-0.00251224,0.116871,-1.65838,39.8838,0
8.7,4964.23,279.747,28.5922,-0.636453,0,0.0049676,0.0842315,-0.000974576,-0.00226273,0.121073,-0.614255,25.324,0
8.75,4977.89,278.04,27.6201,-0.563892,0,0.00492218,0.0834986,-0.000983537,-0.00201135,0.125267,1.15839,36.9707,0
8.8,4991.47,276.33,26.6677,-0.493526,0,0.0047709,0.0833796,-0.000991412,-0.00176492,0.129439,1.81747,28.3749,0
8.85,5004.95,274.621,25.733,-0.423805,0,0.00493926,0.0829485,-0.000998241,-0.001518,0.133597,-1.33033,31.1122,0
8.9,5018.34,272.91,24.8138,-0.354948,0,0.00476186,0.0831089,-0.00100403,-0.00127119,0.137749,1.91428,24.1207,0
8.95,5031.64,271.202,23.9129,-0.287752,0,0.00481416,0.0822705,-0.00100878,-0.0010276,0.141883,-0.257964,34.4471,0
9,5044.85,269.492,23.0367,-0.22065,0,0.00486508,0.0814705,-0.00101249,-0.000781454,0.145977,-0.302493,33.0134,0
